Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
"Bahamas, The",BHS,2014,YR2014,100,100,100,99.6763381958008,4.02736864841881,0,0,280.9114,1.08880276901951,1853,25800.02623
"Bahamas, The",BHS,2015,YR2015,100,100,100,99.8746032714844,4.03347210764914,0,0,310.333,1.21051288380392,2117,25636.48881
"Bahamas, The",BHS,2016,YR2016,100,100,100,100,..,..,..,..,..,..,..
Bahrain,BHR,2007,YR2007,100,100,100,100,10.9121706692551,0,0,0,0,21727,120207.717216
Bahrain,BHR,2008,YR2008,100,100,100,100,11.1342166842842,0,0,0,0,22824,126332.586936
Bahrain,BHR,2009,YR2009,100,100,100,100,10.5459446541361,0,0,0,0,22561,125552.376756
Bahrain,BHR,2010,YR2010,100,100,100,100,10.4491991326449,0,0,0,0,23824,140457.51036
Bahrain,BHR,2011,YR2011,100,100,100,100,10.2370135888467,0,0,0,0,24338,141201.50472
Bahrain,BHR,2012,YR2012,100,100,100,100,9.79422094964858,0,0,0,0,24775,140139.146088
Bahrain,BHR,2013,YR2013,100,100,100,100,10.1388268335799,0,0,0,0,25916,170118.015732
Bahrain,BHR,2014,YR2014,100,100,100,100,9.92276924601324,0,0,0,0,27253,184581.944352
Bahrain,BHR,2015,YR2015,100,100,100,100,9.78520977075594,0,0,0,0,28484,191733.4593
Bahrain,BHR,2016,YR2016,100,100,100,100,..,..,..,..,..,..,..
Bangladesh,BGD,2007,YR2007,10.92,36.6,46.5,82.1,3.37923652990158,749,2.41573939687147,351916.4,47.4829161545534,31005,741143.191068
Bangladesh,BGD,2008,YR2008,11.59,37.5653920026175,51.2497749328613,84.805046081543,3.34561817215582,950,2.77631655853644,356329.3,45.5814154712449,34218,781742.506932
Bangladesh,BGD,2009,YR2009,12.2,40.0024600862526,53.6328544616699,85.8821411132813,3.35070650577119,417,1.12166124216586,358705.3,43.6891169940556,37177,821040.397884
Bangladesh,BGD,2010,YR2010,12.9,42.49,55.26,90.1,3.43732478581831,729,1.78720274577102,363747.3,41.0508417943633,40790,886089.74652
Bangladesh,BGD,2011,YR2011,13.63,49.3,59.6,90.2,3.34942383956602,872,1.9749507394741,368449.7,39.4378552445795,44153,934253.898228
Bangladesh,BGD,2012,YR2012,14.33,47.5702915404016,60.8782157897949,89.1705551147461,3.29957758916921,777,1.60001647378609,372529.9,38.6126786335771,48562,964786.472172
Bangladesh,BGD,2013,YR2013,15.06,54.2,61.5,88,3.17849390914751,1034,1.94653614457831,377762.7,38.7604812718781,53120,974607.867612
Bangladesh,BGD,2014,YR2014,15.96,51.4,62.4,90.7,3.12943728409882,737,1.31972423672665,381507.4,37.6344834916176,55845,1013717.64564
Bangladesh,BGD,2015,YR2015,16.68,55.5300206796793,68.2046813964844,92.5071792602539,3.13980502442378,724,1.2268899018827,386058.6,34.7470690115416,59011,1111053.711816
Bangladesh,BGD,2016,YR2016,17.72,68.85,75.92,94.01,..,..,..,..,..,..,..
Barbados,BRB,2007,YR2007,98.8,100,100,100,4.10581518721768,0,0,1165.475,9.7104639158613,1049.23,12002.2586984365
Barbados,BRB,2008,YR2008,98.92,100,100,100,4.87143962984287,0,0,1141.304,8.62863650732714,1053.66,13226.9333518783
Barbados,BRB,2009,YR2009,99.01,100,100,100,5.12965430358548,0,0,1233.936,9.3801547841442,1068.34,13154.7509438308
Barbados,BRB,2010,YR2010,99.08,100,100,100,4.73861274440615,0,0,1185.736,9.03133448365998,1027.67,13129.1339297122
Barbados,BRB,2011,YR2011,99.17,100,100,100,4.6830214063545,0,0,565.2721,4.58440171410584,1049,12330.335237872
Barbados,BRB,2012,YR2012,99.24,100,100,100,4.56037558566737,0,0,512.6778,4.13218505806171,1128.52,12406.9419156286
